homunc_area,dev_ratio
1,0.434782608695652
2,0.5
3,1
4,1
5,0.714285714285714
6,1
7,1
8,0.857142857142857
9,0.666666666666667
10,1
11,0.666666666666667
12,0.25
13,0.5
14,0.75
15,0.0666666666666667
16,0
17,0
18,0
19,0
20,0.333333333333333
22,1
